file_name,highest_peak,0_FFT mean coefficient_32,mean,standard_deviation,rms_val,top3_peak,entropy,kurtosis_val,skewness,time_diff,peak_to_peak,,pca_comp_0,pca_comp_1,pca_comp_2,max_frequency
2004.02.12.12.12.39,0.03952185,7.43E-05,0.062369385,0.000792711,0.079241116,0.068597674,4.887410233,0.455211932,0.033519747,6600,0.913,,-11370966.8,539450.1858,-819.3898787,123.1809747
2004.02.12.12.22.39,0.027801052,6.26E-05,0.060837646,0.000774152,0.077638908,0.068988586,4.86505549,0.641515075,0.019565298,7200,0.778,,-14065014.68,530857.4392,-866.6270454,123.1809747
2004.02.12.12.32.39,0.041656269,6.11E-05,0.061091309,0.00077633,0.077404581,0.065805934,4.865147765,0.364726038,0.025770055,7800,0.852,,-9556877.361,543632.0583,-835.853694,123.1809747
2004.02.12.12.42.39,0.028861814,6.51E-05,0.062603613,0.000794732,0.079864687,0.068174975,4.893809965,0.598253155,0.036749792,8400,0.805,,-11173922.77,538234.7228,-840.1686372,123.1809747
2004.02.12.12.52.39,0.032354978,7.12E-05,0.062341455,0.000792599,0.07921698,0.071303626,4.886189966,0.551110358,0.024887726,9000,0.725,,-11245903.15,537421.0302,-863.6962862,123.1809747
2004.02.12.13.02.39,0.042681333,7.02E-05,0.061630566,0.000779931,0.078661777,0.061520816,4.878423294,0.553051661,-0.013483614,9600,0.82,,-10540143.51,538915.0148,-795.1499075,123.1809747
2004.02.12.13.12.39,0.041790241,7.27E-05,0.061883496,0.000786448,0.078453384,0.065230901,4.878220067,0.479966099,0.016455531,10200,0.849,,-10282608.4,539079.1475,-765.4824796,123.1809747
2004.02.12.13.22.39,0.037721765,5.52E-05,0.061244482,0.00077764,0.077622774,0.0662473,4.866598409,0.447748881,0.020390511,10800,0.761,,-10061195.58,539136.2246,-740.0966481,123.3030569
2004.02.12.13.32.39,0.03282988,6.02E-05,0.061474463,0.0007823,0.077825558,0.07042426,4.871518523,0.341445316,0.003513831,11400,0.874,,-9394138.956,540514.8946,-817.6790555,123.1809747
2004.02.12.13.42.39,0.037306939,5.59E-05,0.061842383,0.000784906,0.078933161,0.070028928,4.881983395,0.596429652,-0.032123572,12000,0.803,,-11637616.72,533259.0101,-836.529155,123.1809747
2004.02.12.13.52.39,0.04016259,5.74E-05,0.062211377,0.000788144,0.079028548,0.066785978,4.883709923,0.506380111,0.061552985,12600,0.742,,-9534071.867,538899.8306,-783.3287916,123.1809747
2004.02.12.14.02.39,0.032306023,5.97E-05,0.062623291,0.000795231,0.079363285,0.069074303,4.889594019,0.384406843,0.037744146,13200,0.686,,-10279768.95,536087.3366,-839.2562928,123.1809747
2004.02.12.14.12.39,0.032384962,4.75E-05,0.062512646,0.000796818,0.07948672,0.068160586,4.891170315,0.414972443,0.019707754,13800,0.759,,-11059438.65,533174.147,-891.5822909,123.1809747
2004.02.12.14.22.39,0.030018014,7.07E-05,0.062603955,0.000788199,0.079752943,0.06773324,4.892253673,0.520074032,-0.038518895,14400,0.85,,-9789610.668,536341.608,-813.0915313,123.1809747
2004.02.12.14.32.39,0.033534901,6.17E-05,0.062447412,0.000794748,0.079381388,0.069339976,4.888558599,0.484681042,-0.036549177,15000,0.713,,-12220354.34,528530.201,-795.3267323,123.1809747
2004.02.12.14.42.39,0.04159586,7.08E-05,0.06132876,0.000779728,0.077591879,0.064615751,4.868532306,0.309975551,0.026619772,15600,0.732,,-14876449.71,520049.8486,-895.785222,123.1809747
2004.02.12.14.52.39,0.041919992,7.81E-05,0.061449023,0.000782234,0.077740996,0.064638046,4.869771489,0.36804212,0.001337029,16200,0.769,,-9355404.566,535830.0988,-707.4132745,123.1809747
2004.02.12.15.02.39,0.035191939,5.17E-05,0.061288086,0.000777965,0.077513944,0.068570198,4.865462986,0.404208338,-0.032670648,16800,0.735,,-11645935.11,528434.4567,-775.3766132,123.1809747
2004.02.12.15.12.39,0.043242292,6.23E-05,0.061903809,0.000789697,0.078279544,0.065786255,4.876356902,0.341991713,0.033696876,17400,0.871,,-11911527.87,527046.2739,-843.3835869,123.1809747
2004.02.12.15.22.39,0.039777172,7.06E-05,0.061889746,0.000788056,0.078861181,0.065594138,4.881277159,0.535020064,-0.006817489,18000,0.803,,-10966891.72,529248.9583,-778.0636515,123.1809747
2004.02.12.15.32.39,0.040814701,7.14E-05,0.061726074,0.000792678,0.078582367,0.066118894,4.878865281,0.48904471,-0.002622714,18600,0.774,,-10668744.12,529533.35,-825.8680818,123.1809747
2004.02.12.15.42.39,0.043041508,5.75E-05,0.063207959,0.000803442,0.080230918,0.064691617,4.898194463,0.48671177,0.023062208,19200,0.732,,-12739897.89,522788.6552,-847.9022058,123.1809747
2004.02.12.15.52.39,0.028737475,6.04E-05,0.060691357,0.000766604,0.07742107,0.066833888,4.864596669,0.508672971,-0.018266271,19800,0.74,,-9421751.205,532033.0455,-768.572709,123.3030569
2004.02.12.16.02.39,0.028250343,8.17E-05,0.062273437,0.000779986,0.079016125,0.0658887,4.885003218,0.404492416,0.029730785,20400,0.662,,-10276551.13,528896.9467,-787.4957728,123.3030569
2004.02.12.16.12.39,0.030567357,7.95E-05,0.061525195,0.00078076,0.078234754,0.06774407,4.876071695,0.406680929,-0.014541134,21000,0.71,,-11185292.18,525600.8849,-810.0297231,123.3030569
2004.02.12.16.22.39,0.031526248,5.96E-05,0.061505615,0.000779421,0.078128706,0.068402902,4.874956298,0.421878879,-0.01172376,21600,0.76,,-14941460.71,513857.2644,-814.1252995,123.1809747
2004.02.12.16.32.39,0.045639473,5.77E-05,0.06062832,0.000776097,0.076861891,0.066245089,4.858482884,0.409627806,-0.012802938,22200,0.809,,-9486556.553,529440.666,-811.030791,123.1809747
2004.02.12.16.42.39,0.040880885,7.95E-05,0.0626854,0.000799495,0.079865187,0.065223428,4.893165348,0.570651789,-0.0097771,22800,0.734,,-11491572.43,522892.4532,-741.4988295,123.1809747
2004.02.12.16.52.39,0.044825875,6.93E-05,0.061218896,0.000780343,0.077429175,0.065682757,4.865473415,0.356969284,0.045148258,23400,0.896,,-10225480.74,526048.4789,-785.9780004,123.1809747
2004.02.12.17.02.39,0.040765915,6.27E-05,0.061414404,0.000781048,0.078461256,0.061056321,4.874302835,0.656100882,-0.000504142,24000,0.725,,-13198057.45,516629.2802,-868.6229217,123.3030569
2004.02.12.17.12.39,0.043552615,7.24E-05,0.061577539,0.000787564,0.07859596,0.063687684,4.878716075,0.505892683,-0.037502147,24600,0.747,,-10169920.42,525013.4528,-746.760074,123.1809747
2004.02.12.17.22.39,0.04067023,7.19E-05,0.061915576,0.000791244,0.078661427,0.064890594,4.879927091,0.453114008,-0.008567194,25200,0.779,,-9967852.02,525012.999,-724.058545,123.1809747
2004.02.12.17.32.39,0.03356801,6.20E-05,0.061147217,0.000773552,0.07762854,0.070194692,4.86826994,0.430764022,0.04469583,25800,0.749,,-10843741.43,521814.2465,-777.4507539,123.1809747
2004.02.12.17.42.39,0.041555275,8.51E-05,0.061457813,0.000777668,0.078208743,0.063136049,4.874150055,0.488396337,-0.006356188,26400,0.913,,-13732848.77,512642.7097,-860.9993434,123.1809747
2004.02.12.17.52.39,0.044919945,6.88E-05,0.061381689,0.000782401,0.078088564,0.064924886,4.871628908,0.536781663,0.030868202,27000,0.705,,-14378741.27,510126.5661,-839.4733299,123.1809747
2004.02.12.18.02.39,0.036746701,6.38E-05,0.060115381,0.000757092,0.076482262,0.063330466,4.85352133,0.457670006,0.018150123,27600,0.689,,-14484915.71,509211.476,-879.7768442,123.1809747
2004.02.12.18.12.39,0.045599514,7.38E-05,0.062267725,0.000794236,0.078913275,0.067148027,4.884464634,0.356476026,0.068390766,28200,0.752,,-12918687.41,513258.277,-806.2946983,123.1809747
2004.02.12.18.22.39,0.039712994,5.53E-05,0.060795264,0.000768645,0.077322665,0.062639736,4.863329186,0.498286102,0.014921276,28800,0.764,,-14494865.92,507982.0255,-846.4493482,123.1809747
2004.02.12.18.32.39,0.045563743,6.90E-05,0.061783984,0.000788455,0.078247548,0.068578184,4.876676877,0.329758249,0.025824338,29400,0.771,,-14780571.87,506534.3705,-860.8129319,123.1809747
2004.02.12.18.42.39,0.041831143,7.79E-05,0.060625,0.000766423,0.076969827,0.062206897,4.859308808,0.42431284,0.046607652,30000,0.792,,-14506397.85,506747.6735,-885.1252348,123.1809747
2004.02.12.18.52.39,0.043681672,7.20E-05,0.061513965,0.000783252,0.078479643,0.065430638,4.87784445,0.553398547,-0.041870852,30600,0.83,,-11172781.31,516038.0025,-789.1624961,123.1809747
2004.02.12.19.02.39,0.043195859,7.29E-05,0.061633936,0.000785509,0.078539564,0.06442007,4.877410917,0.579113831,-0.02383027,31200,0.993,,-12319277.2,512036.4456,-847.3917583,123.1809747
2004.02.12.19.12.39,0.035904845,7.02E-05,0.062391113,0.000793051,0.079380908,0.068963261,4.886898414,0.627682513,0.013215485,31800,0.738,,-14844565.96,503944.5429,-827.7116166,123.0588925
2004.02.12.19.22.39,0.042325627,9.23E-05,0.060578906,0.00076917,0.07691333,0.063032755,4.858008321,0.398507857,-0.047841963,32400,0.793,,-14839611.17,503359.3427,-801.1239364,123.1809747
2004.02.12.19.32.39,0.043005466,5.90E-05,0.060346924,0.000765654,0.076627923,0.064151557,4.854342813,0.425242785,0.015918091,33000,0.791,,-13697113.05,506148.6704,-863.7864998,123.1809747
2004.02.12.19.42.39,0.033904991,6.45E-05,0.061459424,0.00077577,0.078339207,0.066028587,4.874910806,0.613387552,0.050826721,33600,0.813,,-13882874.81,504997.676,-818.2109891,123.0588925
2004.02.12.19.52.39,0.042679975,5.66E-05,0.060919775,0.000772773,0.077380314,0.063595216,4.862754498,0.484321761,-0.010552538,34200,0.835,,-13419366.99,505772.8719,-786.4017372,123.1809747
2004.02.12.20.02.39,0.039706075,4.56E-05,0.06096416,0.000779476,0.077423473,0.067222968,4.865239786,0.449415121,0.007369961,34800,0.694,,-13747030.35,504200.8541,-744.9089354,123.1809747
2004.02.12.20.12.39,0.042814407,5.58E-05,0.060199121,0.000774107,0.075997511,0.06597152,4.847664874,0.29858314,-0.006799372,35400,0.737,,-14495805.59,501379.2663,-812.1260808,123.1809747
2004.02.12.20.22.39,0.045448677,6.17E-05,0.06161499,0.00079033,0.078128859,0.066490484,4.875785674,0.347930953,0.016521042,36000,0.779,,-10445692.94,512795.2188,-725.9860174,123.1809747
2004.02.12.20.32.39,0.040220364,5.40E-05,0.062090918,0.000787994,0.078663285,0.062464721,4.881192014,0.412990629,-0.001889782,36600,0.669,,-15137977.69,498274.1246,-801.1254333,123.1809747
2004.02.12.20.42.39,0.045605532,5.98E-05,0.060782715,0.000775279,0.077126326,0.064458654,4.861118484,0.395073441,0.008946705,37200,0.777,,-10545177.58,511299.9595,-772.0748048,123.1809747
2004.02.12.20.52.39,0.042606602,6.16E-05,0.06226416,0.000796299,0.07930147,0.064350629,4.888226612,0.472393625,-0.011074794,37800,0.769,,-13658424.99,501463.6269,-777.1351419,123.1809747
2004.02.12.21.02.39,0.032219852,5.92E-05,0.060654932,0.000775104,0.07694262,0.067861586,4.858822371,0.394462245,-0.001173113,38400,0.774,,-12742787.56,503580.2615,-741.2941078,123.1809747
2004.02.12.21.12.39,0.041605643,6.79E-05,0.060836084,0.000773377,0.077199402,0.063904561,4.863079749,0.378008278,0.033382874,39000,0.752,,-13323763.15,501256.6906,-733.3292716,123.1809747
2004.02.12.21.22.39,0.044662212,7.56E-05,0.060680615,0.00077429,0.076996368,0.06546186,4.860018874,0.436486572,0.040340533,39600,0.842,,-11937126.58,504770.4627,-742.8142654,123.1809747
2004.02.12.21.32.39,0.039964419,6.22E-05,0.060812451,0.000769007,0.077446072,0.064119966,4.864006447,0.491137219,0.04239872,40200,0.713,,-15485352.92,493643.5288,-801.9255648,123.1809747
2004.02.12.21.42.39,0.044150353,6.86E-05,0.060510986,0.000772166,0.076641656,0.06433545,4.85584719,0.346004972,0.049906452,40800,0.755,,-14348807.59,496415.3756,-791.7651829,123.1809747
2004.02.12.21.52.39,0.041053905,7.22E-05,0.060512842,0.000767267,0.076955648,0.064181802,4.858240703,0.446990112,-0.01269641,41400,0.825,,-13880665.24,497204.3204,-790.1906681,123.1809747
2004.02.12.22.02.39,0.042578723,7.16E-05,0.060746484,0.000773243,0.077324706,0.064625427,4.861701479,0.488041617,0.043728335,42000,0.861,,-15678391.16,491270.7805,-821.6708053,123.0588925
2004.02.12.22.12.39,0.040374812,5.81E-05,0.059399854,0.000745853,0.075772924,0.061937569,4.841946329,0.588164862,0.031751568,42600,0.74,,-13315037.37,497682.5277,-729.8458911,123.1809747
2004.02.12.22.22.39,0.039468605,6.08E-05,0.060528027,0.00076842,0.076689131,0.0654763,4.856501546,0.362398397,0.032043297,43200,0.803,,-14684248.45,493020.1783,-799.193036,123.1809747
2004.02.12.22.32.39,0.04302202,6.74E-05,0.060770068,0.000769561,0.077400317,0.064007756,4.862025567,0.540161178,0.003730982,43800,0.781,,-14779196.43,492138.4068,-797.7751967,123.1809747
2004.02.12.22.42.39,0.044012209,8.56E-05,0.061740967,0.00078492,0.077955092,0.066166959,4.872654524,0.326074004,-0.030949996,44400,0.769,,-10048502.05,505573.5414,-732.995104,123.1809747
2004.02.12.22.52.39,0.029297804,3.90E-05,0.061893848,0.00077556,0.078820412,0.06473689,4.883712947,0.394825114,-0.00516813,45000,0.725,,-14312769.11,492322.3258,-768.2775031,123.1809747
2004.02.12.23.02.39,0.043661554,7.73E-05,0.061242285,0.000778599,0.077560623,0.064985843,4.868672407,0.340161178,0.010694172,45600,0.694,,-10394908.93,503346.0199,-645.5217943,123.1809747
2004.02.12.23.12.39,0.033649069,5.54E-05,0.060409229,0.00076596,0.076890527,0.064537166,4.858007957,0.446134626,-0.052644836,46200,0.854,,-14416910.74,490813.1818,-823.6038403,123.1809747
2004.02.12.23.22.39,0.042660304,7.11E-05,0.061592334,0.000785547,0.078246274,0.063962189,4.874257066,0.444577279,-0.009280109,46800,0.808,,-16227037.39,484842.9342,-843.915908,123.1809747
2004.02.12.23.32.39,0.043957652,5.24E-05,0.060021533,0.000763224,0.07672533,0.06306694,4.852377437,0.654300606,0.024579424,47400,0.786,,-15886564.42,485253.0199,-845.0397777,123.1809747
2004.02.12.23.42.39,0.041610425,7.30E-05,0.060835693,0.000774186,0.077382549,0.065712368,4.865455487,0.386355083,-0.022608192,48000,0.71,,-16745042.48,482106.1666,-835.6035332,123.1809747
2004.02.12.23.52.39,0.042638435,6.44E-05,0.060486035,0.000771969,0.076990618,0.063771229,4.858662376,0.449055159,0.031174289,133800,0.706,,-12129152.46,410001.0147,-375.5603199,123.1809747
2004.02.13.00.02.39,0.039042574,6.21E-05,0.059131152,0.000746855,0.074822625,0.060396656,4.832318329,0.302746206,0.01369147,134400,0.904,,-16729072.48,395753.4851,-602.8554834,123.1809747
2004.02.13.00.12.39,0.043006135,5.21E-05,0.060680371,0.000774349,0.077338559,0.062625413,4.86308728,0.581627613,-0.026196213,135000,0.716,,-11873497.78,409559.3642,-421.8723689,123.1809747
2004.02.13.00.22.39,0.039778604,5.42E-05,0.06073252,0.000769079,0.076793975,0.063560103,4.857965087,0.319439938,0.006857906,135600,0.754,,-10878747.06,411910.5074,-428.3114066,123.1809747
2004.02.13.00.32.39,0.036746589,5.22E-05,0.061102588,0.000778772,0.077721765,0.068730538,4.869187446,0.439359239,0.007062047,136200,0.781,,-10886608.17,411287.0709,-474.1348923,123.1809747
2004.02.13.00.42.39,0.037319003,6.68E-05,0.060746924,0.000761425,0.077358979,0.061394782,4.862299661,0.573064649,0.052688955,136800,0.755,,-14725394.49,399298.2885,-479.2411478,123.1809747
2004.02.13.00.52.39,0.043519466,6.04E-05,0.060912451,0.000772788,0.07689177,0.062827707,4.859743709,0.263130457,-0.013550677,137400,0.718,,-13453137.33,402472.7461,-468.8295629,123.1809747
2004.02.13.01.02.39,0.026347895,6.99E-05,0.05888042,0.000743815,0.074922181,0.064083165,4.832710389,0.440956469,-0.004973228,138000,0.872,,-11963953.6,406290.7653,-495.5470573,123.0588925
2004.02.13.01.12.39,0.038864636,5.99E-05,0.060840234,0.000764964,0.077630681,0.062847278,4.86510098,0.606912532,0.051054319,138600,0.721,,-13124632.69,402247.1745,-526.5491118,123.1809747
2004.02.13.01.22.39,0.035446467,5.53E-05,0.061193359,0.000773663,0.077784531,0.062732469,4.870460716,0.420310911,-0.014118265,139200,0.771,,-10323325.55,409958.1888,-449.7588145,123.1809747
2004.02.13.01.32.39,0.028503041,5.54E-05,0.062055908,0.000784306,0.078589311,0.06669376,4.880065447,0.380139943,-0.048650059,139800,0.732,,-12065682.76,404189.2061,-396.362507,123.0588925
2004.02.13.01.42.39,0.030953292,6.65E-05,0.060056836,0.000761433,0.075990533,0.067398184,4.847498243,0.346439636,-0.019641248,140400,0.718,,-13565206.72,399140.2176,-468.2611734,123.1809747
2004.02.13.01.52.39,0.038717617,5.04E-05,0.060576611,0.000765601,0.076710972,0.060674036,4.85572883,0.358155993,-0.005701541,141000,0.767,,-14277578.41,396426.9101,-430.7006988,123.1809747
2004.02.13.02.02.39,0.034287783,6.42E-05,0.05935918,0.000748176,0.075044293,0.066809591,4.834683725,0.353549294,-0.023618486,141600,0.755,,-11823160.73,403108.4043,-500.7472145,123.1809747
2004.02.13.02.12.39,0.026357566,6.47E-05,0.06148252,0.000773993,0.078246278,0.064521967,4.873075862,0.542882081,0.023891274,142200,0.764,,-13797931.16,396649.688,-501.3014417,123.1809747
2004.02.13.02.22.39,0.039778573,7.85E-05,0.060679199,0.000782038,0.077450355,0.064247536,4.864830809,0.50084865,0.021631832,142800,0.845,,-10367441.79,406227.3815,-428.8669301,123.1809747
2004.02.13.02.32.39,0.034269011,5.48E-05,0.061474561,0.000781512,0.07831603,0.063654076,4.875480706,0.536634531,-0.003735698,143400,0.803,,-11565116.21,402074.2383,-401.0622641,123.1809747
2004.02.13.02.42.39,0.034475175,5.44E-05,0.060369141,0.000755452,0.076560149,0.064684758,4.854813095,0.389219362,0.01059267,144000,0.759,,-10866840.37,403545.7965,-422.1018426,123.1809747
2004.02.13.02.52.39,0.028272382,5.94E-05,0.061071973,0.000769894,0.077680204,0.065676475,4.867892237,0.450861483,0.012000842,144600,0.774,,-16576037.39,386007.6304,-523.030863,123.1809747
2004.02.13.03.02.39,0.037787887,5.90E-05,0.059841895,0.000754982,0.07571563,0.063130312,4.843900754,0.392533903,-0.012775323,145200,0.749,,-13604555.28,394223.3171,-534.3945546,123.1809747
2004.02.13.03.12.39,0.03692974,6.03E-05,0.061092041,0.000767369,0.077946206,0.061483526,4.870189645,0.524863237,0.032964976,145800,0.75,,-12665131.95,396410.5904,-443.63158,123.1809747
2004.02.13.03.22.39,0.035729786,5.83E-05,0.060354932,0.000761263,0.076593927,0.06407395,4.854473754,0.41656301,-0.061159515,146400,0.867,,-14783974.7,389524.2982,-486.8205836,123.1809747
2004.02.13.03.32.39,0.037505384,6.67E-05,0.060179199,0.000761176,0.07639992,0.06150507,4.850998626,0.445374126,-0.0478827,147000,0.701,,-12120012.02,396827.9747,-400.39861,123.1809747
2004.02.13.03.42.39,0.030947136,8.12E-05,0.060262451,0.000765441,0.076631802,0.065459435,4.856301225,0.400779751,-0.018045275,147600,0.833,,-15908839.14,384986.9333,-556.325502,123.1809747
2004.02.13.03.52.39,0.04081295,6.31E-05,0.060677148,0.000767728,0.077282818,0.062134636,4.860547315,0.53165752,0.04180556,148200,0.789,,-10363967.09,400837.7856,-385.5474512,123.1809747
2004.02.13.04.02.39,0.039206036,6.59E-05,0.061193311,0.000769319,0.077640616,0.061194883,4.867130918,0.442206338,-0.002657138,148800,0.803,,-14941927.65,386655.5756,-520.698948,123.1809747
2004.02.13.04.12.39,0.041780755,7.96E-05,0.060404492,0.000756101,0.07682055,0.061351703,4.856384852,0.43609997,-0.001529316,149400,0.786,,-13187001.99,391262.3014,-431.9564227,123.1809747
2004.02.13.04.22.39,0.040327583,6.52E-05,0.059834131,0.000755339,0.076061897,0.062000065,4.847144192,0.477320914,0.016751148,150000,0.708,,-15474536.09,383875.6568,-473.6465304,123.1809747
2004.02.13.04.32.39,0.043447288,5.76E-05,0.059873096,0.000762509,0.076040579,0.062269443,4.846795817,0.447945466,0.035843414,150600,0.745,,-11961702.39,393697.4992,-434.9514069,123.1809747
2004.02.13.04.42.39,0.037455306,6.70E-05,0.061041846,0.000768363,0.077359775,0.06159212,4.86453156,0.418356204,0.03500325,151200,0.695,,-14174475.77,386532.5675,-484.7635087,123.1809747
2004.02.13.04.52.39,0.039998876,6.55E-05,0.0600979,0.000762525,0.076503728,0.061310247,4.851936655,0.476538144,-0.005769643,151800,0.718,,-11911808.47,392645.6811,-382.2206935,123.1809747
2004.02.13.05.02.39,0.031341476,6.84E-05,0.060137402,0.000755161,0.076275448,0.062930122,4.849608959,0.387836384,-0.020384684,152400,0.766,,-9071474.179,400472.3514,-351.6924003,123.1809747
2004.02.13.05.12.39,0.036620474,5.75E-05,0.061294385,0.000774079,0.07797731,0.062922137,4.871864902,0.425441924,-0.009992833,153000,0.782,,-11399113.68,392966.7804,-353.4177364,123.1809747
2004.02.13.05.22.39,0.03646333,5.49E-05,0.059829248,0.000759213,0.076065333,0.062181181,4.847738929,0.450632419,-0.021145094,153600,0.726,,-13600422.77,385835.8256,-429.3716658,123.1809747
2004.02.13.05.32.39,0.034556362,5.49E-05,0.060349756,0.000761542,0.076805035,0.063570191,4.85652413,0.478355256,0.031109307,154200,0.757,,-14690837.36,382000.7089,-461.8072541,123.1809747
2004.02.13.05.42.39,0.039047815,8.86E-05,0.059495117,0.000748405,0.075512383,0.059883056,4.841639378,0.398427333,-0.027523554,154800,0.896,,-13596046.54,384648.4678,-521.4560938,123.1809747
2004.02.13.05.52.39,0.042724997,6.65E-05,0.062271582,0.000788395,0.078948397,0.063410242,4.883695145,0.52763363,0.058831375,155400,0.766,,-13437317.57,384519.5402,-469.9190031,123.1809747
2004.02.13.06.02.39,0.03723829,7.03E-05,0.060693359,0.000762887,0.077215382,0.058427483,4.861783956,0.48623242,0.005938576,156000,0.776,,-11433784.32,389863.6705,-422.8246677,123.1809747
2004.02.13.06.12.39,0.037444958,8.57E-05,0.06114707,0.000768911,0.077758223,0.061420478,4.868786327,0.510527442,-0.025183036,156600,0.825,,-12495355.4,386114.1955,-425.0263925,123.1809747
2004.02.13.06.22.39,0.036395047,5.09E-05,0.060677832,0.000770193,0.077273343,0.063982868,4.861417735,0.614898578,-0.025768232,157200,0.832,,-14726037.13,378896.3795,-425.2071669,123.1809747
2004.02.13.06.32.39,0.04202295,6.46E-05,0.06058916,0.000768616,0.076690082,0.065353747,4.855463404,0.404083122,0.020313258,157800,0.788,,-11217155.29,388706.3606,-415.5159085,123.1809747
2004.02.13.06.42.39,0.039345612,3.95E-05,0.061254053,0.000782448,0.078127825,0.061848518,4.872967918,0.537888873,-0.031985013,158400,0.798,,-14166681.09,379355.691,-450.7179363,123.1809747
2004.02.13.06.52.39,0.043001672,5.29E-05,0.061405859,0.000781555,0.077818368,0.065777614,4.870243828,0.400245577,-0.015359632,159000,0.74,,-9493276.13,392620.7565,-410.0866511,123.1809747
2004.02.13.07.02.39,0.038945535,7.28E-05,0.062207568,0.000777606,0.079184629,0.057710319,4.887095562,0.450794349,-0.020519835,159600,0.708,,-14891808.85,376004.4503,-443.447625,123.1809747
2004.02.13.07.12.39,0.042786324,7.01E-05,0.060342188,0.000762797,0.076392646,0.064051624,4.852377004,0.346635292,0.010150521,160200,0.784,,-15459717.45,373719.4222,-507.2414419,123.1809747
2004.02.13.07.22.39,0.041356129,5.73E-05,0.060595703,0.000767538,0.077138719,0.061069217,4.861859774,0.444505329,-0.030033012,160800,0.752,,-15329790.52,373505.0805,-443.3072553,123.1809747
2004.02.13.07.32.39,0.04223538,7.68E-05,0.060213037,0.00075986,0.076197435,0.065316567,4.849879783,0.338013799,-0.014486936,161400,0.73,,-11900017.48,383080.6293,-365.9742789,123.1809747
2004.02.13.07.42.39,0.031895247,7.00E-05,0.059976318,0.000755132,0.076348566,0.063982788,4.850528982,0.471458126,0.025411121,162000,0.72,,-13385104.44,378074.5448,-414.603191,123.1809747
2004.02.13.07.52.39,0.038645344,5.09E-05,0.060206592,0.000759468,0.0763521,0.061236964,4.850984443,0.380051042,-0.009118173,162600,0.684,,-14881025.41,373036.486,-419.6911313,123.1809747
2004.02.13.08.02.39,0.035707564,5.42E-05,0.059258008,0.000740401,0.074970113,0.062390954,4.834415607,0.33857833,-0.005885893,163200,0.662,,-15899886.93,369413.6396,-456.8861568,123.1809747
2004.02.13.08.12.39,0.040128884,6.28E-05,0.060104346,0.000760094,0.075994781,0.066559659,4.847825637,0.244507327,-0.028211285,163800,0.884,,-13813507.17,375003.5412,-428.0110172,123.1809747
2004.02.13.08.22.39,0.04206821,6.08E-05,0.059883643,0.000760112,0.076375128,0.061657609,4.849629967,0.64464477,0.03505867,164400,0.711,,-16281572.46,367081.1178,-483.4655782,123.1809747
2004.02.13.08.32.39,0.041685122,6.77E-05,0.06005249,0.000758489,0.076158664,0.064434219,4.849010343,0.346811603,-0.033120872,165000,0.757,,-11524969.95,380593.3782,-327.4160439,123.1809747
